English (en),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,clean_name
acoustics,0,0,0,0,0,0,0,0,acoustic
acquaint,0,0,0,0,0,0,0,0,acquaint
acquaintance,0,0,0,0,0,0,0,0,acquaintance
acquainted,0,0,0,0,0,0,0,0,acquaint
acquiescence,0,0,0,0,0,0,0,0,acquiescence
acquire,0,0,0,0,0,0,0,0,acquire
acquiring,0,1,0,0,0,0,0,0,acquire
acquisition,0,0,0,0,0,0,0,0,acquisition
acquisitions,0,0,0,0,0,0,0,0,acquisition
acreage,0,0,0,0,0,0,0,0,acreage
acres,0,0,0,0,0,0,0,0,acre
acrobat,0,0,0,1,1,0,0,1,acrobat
act,0,0,0,0,0,0,0,0,act
acting,0,0,0,0,0,0,0,0,act
action,0,0,0,0,0,0,0,0,action
actionable,1,0,1,0,0,0,0,0,actionable
active,0,0,0,0,0,0,0,0,active
activity,0,0,0,0,0,0,0,0,activity
actor,0,0,0,0,0,0,0,0,actor
actual,0,0,0,0,0,0,0,0,actual
actuality,0,0,0,0,0,0,0,0,actuality
actuary,0,0,0,0,0,0,0,0,actuary
acuity,0,0,0,0,0,0,0,0,acuity
acumen,0,0,0,0,0,0,0,0,acumen
acupuncture,0,0,0,0,0,0,0,0,acupuncture
acutely,0,0,0,0,0,0,0,0,acutely
adage,0,0,0,0,0,0,0,0,adage
adamant,0,0,0,0,0,0,0,0,adamant
adapt,0,0,0,0,0,0,0,0,adapt
adaptable,0,0,0,0,0,0,0,0,adaptable
add,0,0,0,0,0,0,0,0,add
added,0,0,0,0,0,0,0,0,add
addendum,0,0,0,0,0,0,0,0,addendum
adder,1,0,1,1,0,1,0,0,adder
addiction,0,0,0,0,0,0,0,0,addiction
addition,0,0,0,0,0,0,0,0,addition
additional,0,0,0,0,0,0,0,0,additional
additive,0,0,0,0,0,0,0,0,additive
address,0,0,0,0,0,0,0,0,address
addressee,0,0,0,0,0,0,0,0,addressee
addresses,0,1,0,0,0,0,0,0,address
adept,0,0,0,0,0,0,0,0,adept
adequacy,0,0,0,0,0,0,0,0,adequacy
adequate,0,0,0,0,0,0,0,0,adequate
adhere,0,0,0,0,0,0,0,0,adhere
adherence,0,0,0,0,0,0,0,0,adherence
adherent,0,0,0,0,0,0,0,0,adherent
adhering,0,0,0,0,0,0,0,1,adhere
adhesion,0,0,0,0,0,0,0,0,adhesion
adhesive,0,0,0,0,0,0,0,0,adhesive
adieu,0,0,0,0,0,0,0,0,adieu
adipose,0,0,0,0,0,0,0,0,adipose
adjacency,0,0,0,0,0,0,0,0,adjacency
adjacent,0,0,0,0,0,0,0,0,adjacent
adjective,0,0,0,0,0,0,0,0,adjective
adjoining,0,0,0,0,0,0,0,0,adjoin
adjourn,0,0,0,0,0,0,0,0,adjourn
adjournment,0,0,0,0,0,0,0,0,adjournment
adjudicate,0,0,0,1,0,0,0,0,adjudicate
adjudication,0,0,0,0,0,0,0,0,adjudication
adjunct,0,0,0,0,0,0,0,0,adjunct
adjust,0,0,0,0,0,0,0,0,adjust
adjustment,0,0,0,0,0,0,0,0,adjustment
adjuvant,0,0,0,0,0,0,0,0,adjuvant
administer,0,0,0,0,0,0,0,0,administer
administration,0,0,0,0,0,0,0,0,administration
administrative,0,0,0,0,0,0,0,1,administrative
admirable,0,0,0,0,1,0,0,1,admirable
admiral,0,0,0,0,0,0,0,1,admiral
admiralty,0,0,0,0,0,0,0,0,admiralty
admiration,0,0,0,0,1,0,0,1,admiration
admire,0,0,0,0,0,0,0,1,admire
admirer,0,0,0,0,0,0,0,0,admirer
admissibility,0,0,0,0,0,0,0,0,admissibility
admissible,0,0,0,0,0,0,0,1,admissible
admission,0,0,0,0,0,0,0,0,admission
admit,0,0,0,0,0,0,0,0,admit
admittance,0,0,0,0,0,0,0,0,admittance
admitted,0,0,0,0,0,0,0,0,admit
admitting,0,0,0,0,0,0,0,0,admit
admixture,0,0,0,0,0,0,0,0,admixture
admonition,0,0,0,1,0,0,0,0,admonition
ado,0,0,0,0,0,0,0,0,ado
adobe,0,0,0,0,0,0,0,0,adobe
adolescence,0,0,0,0,0,0,0,0,adolescence
adolescent,0,0,0,0,0,0,0,0,adolescent
adopt,0,0,0,0,0,0,0,0,adopt
adoption,0,0,0,0,0,0,0,0,adoption
adorable,0,0,0,0,1,0,0,0,adorable
adoration,0,0,0,0,1,0,0,1,adoration
adore,0,1,0,0,1,0,0,1,adore
adorn,0,0,0,0,0,0,0,0,adorn
adornment,0,0,0,0,0,0,0,0,adornment
adrift,0,1,0,1,0,1,0,0,adrift
adult,0,0,0,0,0,0,0,0,adult
adulterated,0,0,0,0,0,0,0,0,adulterate
adultery,0,0,1,0,0,1,0,0,adultery
advance,0,1,0,1,1,0,1,0,advance
advanced,0,0,0,0,0,0,0,0,advanced
advancement,0,0,0,0,0,0,0,0,advancement
advancing,0,0,0,0,0,0,0,0,advance
advantage,0,0,0,0,0,0,0,0,advantage
advantageous,0,0,0,0,0,0,0,0,advantageous
advent,0,1,0,0,1,0,0,1,advent
adventure,0,1,0,0,0,0,0,0,adventure
adventurer,0,0,0,0,0,0,0,0,adventurer
adventurous,0,0,0,0,0,0,0,0,adventurous
adversary,1,0,0,0,0,0,0,0,adversary
adverse,1,0,1,1,0,1,0,0,adverse
adversity,1,0,0,1,0,1,0,0,adversity
advertise,0,0,0,0,0,0,0,0,advertise
advertisement,0,0,0,0,0,0,0,0,advertisement
advice,0,0,0,0,0,0,0,1,advice
advisable,0,0,0,0,0,0,0,1,advisable
advise,0,0,0,0,0,0,0,1,advise
advised,0,0,0,0,0,0,0,1,advise
advisement,0,0,0,0,0,0,0,0,advisement
adviser,0,0,0,0,0,0,0,1,adviser
advocacy,1,1,0,0,1,0,0,1,advocacy
advocate,0,0,0,0,0,0,0,1,advocate
aegis,0,0,0,0,0,0,0,0,aegis
aeration,0,0,0,0,0,0,0,0,aeration
aerial,0,0,0,0,0,0,0,0,aerial
aerodrome,0,0,0,0,0,0,0,0,aerodrome
aerodynamics,0,0,0,0,0,0,0,0,aerodynamics
aeronautics,0,0,0,0,0,0,0,0,aeronautics
aeroplane,0,0,0,0,0,0,0,0,aeroplane
aesthetic,0,0,0,0,0,0,0,0,aesthetic
aesthetics,0,0,0,0,1,0,0,0,aesthetic
aetiology,0,0,0,0,0,0,0,0,aetiology
afar,0,0,0,0,0,0,0,0,afar
affable,0,0,0,0,0,0,0,0,affable
affair,0,0,0,0,0,0,0,0,affair
affecting,0,0,0,0,0,0,0,0,affect
affection,0,0,0,0,1,0,0,1,affection
affections,0,0,0,0,0,0,0,0,affection
affidavit,0,0,0,0,0,0,0,0,affidavit
affiliated,0,0,0,0,0,0,0,0,affiliate
affiliation,0,0,0,0,0,0,0,0,affiliation
affinity,0,0,0,0,0,0,0,0,affinity
affirm,0,0,0,0,0,0,0,1,affirm
affirmation,0,0,0,0,0,0,0,0,affirmation
affirmative,0,0,0,0,0,0,0,0,affirmative
affirmatively,0,0,0,0,0,0,0,1,affirmatively
affix,0,0,0,0,0,0,0,0,affix
afflict,0,0,0,1,0,1,0,0,afflict
afflicted,0,0,0,0,0,0,0,0,afflict
affliction,0,0,1,1,0,1,0,0,affliction
affluence,0,0,0,0,1,0,0,0,affluence
affluent,0,0,0,0,0,0,0,0,affluent
afford,0,0,0,0,0,0,0,0,afford
affront,1,0,1,1,0,1,1,0,affront
afield,0,0,0,0,0,0,0,0,afield
aforementioned,0,0,0,0,0,0,0,0,aforementioned
aforesaid,0,0,0,0,0,0,0,0,aforesaid
afraid,0,0,0,1,0,0,0,0,afraid
afresh,0,0,0,0,0,0,0,0,afresh
aft,0,0,0,0,0,0,0,0,aft
aftermath,1,0,1,1,0,1,0,0,aftermath
afternoon,0,0,0,0,0,0,0,0,afternoon
aftertaste,0,0,0,0,0,0,0,0,aftertaste
afterthought,0,0,0,0,0,0,0,0,afterthought
aga,0,0,0,1,0,0,0,1,aga
agate,0,0,0,0,0,0,0,0,agate
age,0,0,0,0,0,0,0,0,age
aged,0,0,0,0,0,0,0,0,age
agency,0,0,0,0,0,0,0,0,agency
agent,0,0,0,0,0,0,0,0,agent
agglomeration,0,0,0,0,0,0,0,0,agglomeration
aggravated,1,0,0,0,0,0,0,0,aggravate
aggravating,1,0,0,0,0,1,0,0,aggravate
aggravation,1,0,1,0,0,0,0,0,aggravation
aggregate,0,0,0,0,0,0,0,0,aggregate
aggregation,0,0,0,0,0,0,0,0,aggregation
aggression,1,0,0,1,0,0,0,0,aggression
aggressive,1,0,0,1,0,0,0,0,aggressive
aggressor,1,0,0,1,0,0,0,0,aggressor
aghast,0,0,1,1,0,0,1,0,aghast
agile,0,0,0,0,0,0,0,0,agile
agility,0,0,0,0,0,0,0,0,agility
agitated,1,0,0,0,0,0,0,0,agitate
agitation,1,0,0,0,0,0,0,0,agitation
agnostic,0,0,0,0,0,0,0,0,agnostic
ago,0,0,0,0,0,0,0,0,ago
agonizing,0,0,0,1,0,0,0,0,agonize
agony,1,0,0,1,0,1,0,0,agony
agree,0,0,0,0,0,0,0,0,agree
agreeable,0,0,0,0,0,0,0,1,agreeable
agreed,0,0,0,0,0,0,0,1,agree
agreeing,0,0,0,0,0,0,0,1,agree
agreement,0,0,0,0,0,0,0,1,agreement
agricultural,0,0,0,0,0,0,0,0,agricultural
agriculture,0,0,0,0,0,0,0,0,agriculture
aground,0,0,0,0,0,0,0,0,aground
agua,0,0,0,0,0,0,0,0,agua
ahead,0,0,0,0,0,0,0,0,ahead
aid,0,0,0,0,0,0,0,0,aid
aiding,0,0,0,0,0,0,0,0,aid
ail,0,0,0,0,0,1,0,0,ail
ailing,0,0,0,1,0,1,0,0,ail
ailment,0,0,0,0,0,0,0,0,ailment
aim,0,0,0,0,0,0,0,0,aim
aimless,0,0,0,0,0,0,0,0,aimless
air,0,0,0,0,0,0,0,0,air
airlift,0,0,0,0,0,0,0,0,airlift
airline,0,0,0,0,0,0,0,0,airline
airman,0,0,0,0,0,0,0,0,airman
airplane,0,0,0,0,0,0,0,0,airplane
airport,0,1,0,0,0,0,0,0,airport
airs,0,0,1,0,0,0,0,0,air
airship,0,0,0,0,0,0,0,0,airship
aisle,0,0,0,0,0,0,0,0,aisle
ajar,0,0,0,0,0,0,0,0,ajar
akin,0,0,0,0,0,0,0,1,akin
alabaster,0,0,0,0,0,0,0,0,alabaster
alarm,0,0,0,1,0,0,1,0,alarm
alarming,0,0,0,1,0,0,1,0,alarm
alb,0,0,0,0,0,0,0,1,alb
album,0,0,0,0,0,0,0,0,album
alchemy,0,0,0,0,0,0,0,0,alchemy
alcohol,0,0,0,0,0,0,0,0,alcohol
alcoholism,1,0,1,1,0,1,0,0,alcoholism
alcove,0,0,0,0,0,0,0,0,alcove
alert,0,0,0,0,0,0,0,0,alert
alertness,0,1,0,1,0,0,1,0,alertness
alerts,0,1,0,1,0,0,1,0,alert
alfalfa,0,0,0,0,0,0,0,0,alfalfa
algebra,0,0,0,0,0,0,0,0,algebra
algebraic,0,0,0,0,0,0,0,0,algebraic
algorithm,0,0,0,0,0,0,0,0,algorithm
alibi,0,0,0,0,0,0,0,0,alibi
alien,0,0,1,1,0,0,0,0,alien
alienate,1,0,1,0,0,0,0,0,alienate
alienated,0,0,0,0,0,1,0,0,alienate
alienation,1,0,1,1,0,1,0,0,alienation
alight,0,0,0,0,0,0,0,0,alight
aligned,0,0,0,0,0,0,0,0,align
alignment,0,0,0,0,0,0,0,0,alignment
alike,0,0,0,0,0,0,0,0,alike
alimentation,0,0,0,0,0,0,0,0,alimentation
alimony,0,0,0,0,0,0,0,0,alimony
aliquot,0,0,0,0,0,0,0,0,aliquot
alive,0,1,0,0,1,0,0,1,alive
alkali,0,0,0,0,0,0,0,0,alkali
alkaloids,0,0,0,0,0,0,0,0,alkaloid
allay,0,0,0,0,0,0,0,0,allay
allegation,1,0,0,0,0,0,0,0,allegation
allege,0,0,0,0,0,0,0,0,allege
alleged,0,0,0,0,0,0,0,0,allege
allegiance,0,0,0,0,0,0,0,1,allegiance
allegorical,0,0,0,0,0,0,0,0,allegorical
allegory,0,0,0,0,0,0,0,0,allegory
allegro,0,0,0,0,0,0,0,0,allegro
alleviate,0,0,0,0,0,0,0,0,alleviate
alleviation,0,0,0,0,0,0,0,0,alleviation
alley,0,0,0,0,0,0,0,0,alley
alliance,0,0,0,0,0,0,0,1,alliance
allied,0,0,0,0,0,0,0,1,allied
alligator,0,0,0,0,0,0,0,0,alligator
allocate,0,0,0,0,0,0,0,0,allocate
allocation,0,0,0,0,0,0,0,0,allocation
allot,0,0,0,0,0,0,0,0,allot
allotment,0,0,0,0,0,0,0,0,allotment
allowable,0,0,0,0,0,0,0,0,allowable
allowance,0,0,0,0,0,0,0,0,allowance
allowed,0,0,0,0,0,0,0,0,allow
alloy,0,0,0,0,0,0,0,0,alloy
allure,0,1,0,0,1,0,1,0,allure
alluring,0,0,0,0,0,0,0,0,allure
allusion,0,0,0,0,0,0,0,0,allusion
alluvial,0,0,0,0,0,0,0,0,alluvial
ally,0,0,0,0,0,0,0,1,ally
almanac,0,0,0,0,0,0,0,0,almanac
almighty,0,0,0,0,0,0,0,0,almighty
aloft,0,0,0,0,0,0,0,0,aloft
aloha,0,1,0,0,1,0,0,0,aloha
alongside,0,0,0,0,0,0,0,0,alongside
aloof,0,0,0,0,0,0,0,0,aloof
aloud,0,0,0,0,0,0,0,0,aloud
alphabet,0,0,0,0,0,0,0,0,alphabet
alphabetical,0,0,0,0,0,0,0,0,alphabetical
altar,0,0,0,0,0,0,0,0,altar
alter,0,0,0,0,0,0,0,0,alter
alteration,0,0,0,0,0,0,0,0,alteration
altercation,1,0,0,0,0,0,0,0,altercation
altered,0,0,0,0,0,0,0,0,alter
alternate,0,0,0,0,0,0,0,0,alternate
alternative,0,0,0,0,0,0,0,0,alternative
altitude,0,0,0,0,0,0,0,0,altitude
alto,0,0,0,0,0,0,0,0,alto
altogether,0,0,0,0,0,0,0,0,altogether
alumnus,0,0,0,0,0,0,0,0,alumnus
alveolar,0,0,0,0,0,0,0,0,alveolar
amalgam,0,0,0,0,0,0,0,0,amalgam
amalgamation,0,0,0,0,0,0,0,0,amalgamation
amass,0,0,0,0,0,0,0,0,amass
amateur,0,0,0,0,0,0,0,0,amateur
amaze,0,0,0,0,0,0,1,0,amaze
amazement,0,0,0,0,0,0,0,0,amazement
amazingly,0,0,0,0,1,0,1,0,amazingly
ambassador,0,0,0,0,0,0,0,1,ambassador
amber,0,0,0,0,0,0,0,0,amber
ambient,0,0,0,0,0,0,0,0,ambient
ambiguity,0,0,0,0,0,0,0,0,ambiguity
ambiguous,0,0,0,0,0,0,0,0,ambiguous
ambit,0,0,0,0,0,0,0,0,ambit
ambition,0,1,0,0,1,0,0,1,ambition
ambitious,0,0,0,0,0,0,0,0,ambitious
ambulance,0,0,0,1,0,0,0,1,ambulance
ambush,1,0,0,1,0,0,1,0,ambush
ameliorate,0,0,0,0,0,0,0,0,ameliorate
amen,0,0,0,0,1,0,0,1,amen
amenable,0,0,0,0,0,0,0,0,amenable
amend,0,0,0,0,0,0,0,0,amend
amendment,0,0,0,0,0,0,0,0,amendment
amends,0,0,0,0,0,0,0,0,amends
amenity,0,0,0,0,0,0,0,0,amenity
amethyst,0,0,0,0,0,0,0,0,amethyst
amiable,0,0,0,0,0,0,0,0,amiable
amicable,0,0,0,0,1,0,0,0,amicable
ammonia,0,0,1,0,0,0,0,0,ammonia
ammunition,0,0,0,0,0,0,0,0,ammunition
amnesia,0,0,0,0,0,0,0,0,amnesia
amnesty,0,0,0,0,1,0,0,0,amnesty
amorphous,0,0,0,0,0,0,0,0,amorphous
amortization,0,0,0,0,0,0,0,1,amortization
amount,0,0,0,0,0,0,0,0,amount
amour,0,1,0,0,1,0,0,1,amour
ampersand,0,0,0,0,0,0,0,0,ampersand
amphetamines,0,0,1,0,0,0,0,0,amphetamine
amphibian,0,0,0,0,0,0,0,0,amphibian
amphibious,0,0,0,0,0,0,0,0,amphibious
amphitheater,0,0,0,0,0,0,0,0,amphitheater
amplification,0,0,0,0,0,0,0,0,amplification
amplify,0,0,0,0,0,0,0,0,amplify
amplitude,0,0,0,0,0,0,0,0,amplitude
amply,0,0,0,0,0,0,0,0,amply
amputation,0,0,0,0,0,0,0,0,amputation
amulet,0,0,0,0,0,0,0,0,amulet
amuse,0,0,0,0,1,0,0,0,amuse
amused,0,0,0,0,1,0,0,0,amuse
amusement,0,0,0,0,1,0,0,0,amusement
amusing,0,0,0,0,1,0,0,0,amuse
ana,0,0,0,0,0,0,0,0,ana
anaconda,0,0,1,1,0,0,0,0,anaconda
anaesthesia,0,0,0,0,0,0,0,0,anaesthesia
anaesthetic,0,0,0,0,0,0,0,0,anaesthetic
anal,0,0,0,0,0,0,0,0,anal
analgesic,0,0,0,0,0,0,0,0,analgesic
analogous,0,0,0,0,0,0,0,0,analogous
analogue,0,0,0,0,0,0,0,0,analogue
analogy,0,0,0,0,0,0,0,0,analogy
analysis,0,0,0,0,0,0,0,0,analysis
analyst,0,1,0,0,0,0,0,1,analyst
analytic,0,0,0,0,0,0,0,0,analytic
analyze,0,0,0,0,0,0,0,0,analyze
analyzer,0,0,0,0,0,0,0,0,analyzer
anarchism,1,0,0,1,0,0,0,0,anarchism
anarchist,1,0,0,1,0,0,0,0,anarchist
anarchy,1,0,0,1,0,0,0,0,anarchy
anastomosis,0,0,0,0,0,0,0,0,anastomosis
anathema,1,0,1,1,0,1,0,0,anathema
anatomic,0,0,0,0,0,0,0,0,anatomic
anatomy,0,0,0,0,0,0,0,0,anatomy
ancestor,0,0,0,0,0,0,0,0,ancestor
ancestral,0,0,0,0,0,0,0,1,ancestral
ancestry,0,0,0,0,0,0,0,0,ancestry
anchor,0,0,0,0,0,0,0,0,anchor
anchorage,0,0,0,0,0,1,0,0,anchorage
ancient,0,0,0,0,0,0,0,0,ancient
ancillary,0,0,0,0,0,0,0,0,ancillary
androgen,0,0,0,0,0,0,0,0,androgen
anemone,0,0,0,0,0,0,0,0,anemone
anew,0,0,0,0,0,0,0,0,anew
angel,0,1,0,0,1,0,1,1,angel
angelic,0,0,0,0,1,0,0,1,angelic
anger,1,0,0,0,0,0,0,0,anger
angina,0,0,0,1,0,0,0,0,angina
angiography,0,0,0,0,0,0,0,0,angiography
angle,0,0,0,0,0,0,0,0,angle
angling,0,1,0,0,0,0,0,0,angle
angry,1,0,1,0,0,0,0,0,angry
anguish,1,0,0,1,0,1,0,0,anguish
angular,0,0,0,0,0,0,0,0,angular
anhydrous,0,0,0,0,0,0,0,0,anhydrous
animal,0,0,0,0,0,0,0,0,animal
animate,0,0,0,0,0,0,0,0,animate
animated,0,0,0,0,1,0,0,0,animate
animation,0,0,0,0,0,0,0,0,animation
animosity,1,0,1,1,0,1,0,0,animosity
animus,1,0,0,0,0,0,0,0,animus
ankle,0,0,0,0,0,0,0,0,ankle
annals,0,0,0,0,0,0,0,0,annals
annex,0,0,0,0,0,0,0,0,annex
annexation,0,0,0,0,0,0,0,0,annexation
annexe,0,0,0,0,0,0,0,0,annexe
annihilate,1,0,0,1,0,0,0,0,annihilate
annihilated,1,0,0,1,0,1,0,0,annihilate
annihilation,1,0,0,1,0,1,0,0,annihilation
annotate,0,0,0,0,0,0,0,0,annotate
annotation,0,0,0,0,0,0,0,0,annotation
announce,0,0,0,0,0,0,0,0,announce
announcement,0,1,0,0,0,0,0,0,announcement
annoy,1,0,1,0,0,0,0,0,annoy
annoyance,1,0,1,0,0,0,0,0,annoyance
annoying,1,0,0,0,0,0,0,0,annoy
annuity,0,0,0,0,0,0,0,0,annuity
annul,0,0,0,0,0,0,0,0,annul
annular,0,0,0,0,0,0,0,0,annular
annulment,0,0,0,0,0,1,0,0,annulment
annulus,0,0,0,0,0,0,0,0,annulus
anointing,0,0,0,0,0,0,0,0,anoint
anomalous,0,0,0,0,0,0,0,0,anomalous
anomaly,0,0,0,1,0,0,1,0,anomaly
anon,0,0,0,0,0,0,0,0,anon
anonymous,0,0,0,0,0,0,0,0,anonymous
answer,0,0,0,0,0,0,0,0,answer
answerable,0,0,0,0,0,0,0,1,answerable
answering,0,0,0,0,0,0,0,0,answer
ant,0,0,0,0,0,0,0,0,ant
antagonism,1,0,0,0,0,0,0,0,antagonism
antagonist,1,0,0,0,0,0,0,0,antagonist
antagonistic,1,0,1,0,0,0,0,0,antagonistic
ante,0,0,0,0,0,0,0,0,ante
antecedent,0,0,0,0,0,0,0,0,antecedent
antelope,0,0,0,0,0,0,0,0,antelope
antenna,0,0,0,0,0,0,0,0,antenna
anterior,0,0,0,0,0,0,0,0,anterior
anthem,0,0,0,0,0,0,0,0,anthem
anthology,0,0,0,0,0,0,0,0,anthology
anthrax,0,0,1,1,0,1,0,0,anthrax
anthropology,0,0,0,0,0,0,0,0,anthropology
antibiotic,0,0,0,0,0,0,0,0,antibiotic
antibiotics,0,0,0,0,0,0,0,0,antibiotic
antichrist,1,0,1,1,0,0,0,0,antichrist
anticipation,0,1,0,0,0,0,0,0,anticipation
anticipatory,0,1,0,0,0,0,0,0,anticipatory
antidote,0,1,0,0,0,0,0,1,antidote
antifungal,0,0,0,0,0,0,0,1,antifungal
antimony,0,0,0,0,0,0,0,0,antimony
antipathy,1,0,1,0,0,0,0,0,antipathy
antiquarian,0,0,0,0,0,0,0,0,antiquarian
antiquated,0,0,0,0,0,0,0,0,antiquate
antique,0,0,0,0,0,0,0,0,antique
